Row-Normalized (FULL FRAME): P(text | image)
============================================

Image \ Text               onion          tomato        cucumber            rice           olive     feta cheese   hamburger bun       soy sauce     frozen peas  frozen carrots
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
onion                     0.0862          0.1822          0.1474          0.0783          0.1823          0.0181          0.0712          0.0098          0.1452          0.0793
tomato                    0.0940          0.3524          0.1046          0.0814          0.0937          0.0146          0.0721          0.0126          0.0770          0.0977
cucumber                  0.0955          0.1828          0.0805          0.0899          0.0997          0.0228          0.1328          0.0132          0.1639          0.1188
rice                      0.0825          0.1902          0.1078          0.0818          0.1308          0.0237          0.1213          0.0135          0.1430          0.1053
olive                     0.0862          0.1822          0.1474          0.0783          0.1823          0.0181          0.0712          0.0098          0.1452          0.0793
feta cheese               0.0862          0.1822          0.1474          0.0783          0.1823          0.0181          0.0712          0.0098          0.1452          0.0793
hamburger bun             0.0862          0.1822          0.1474          0.0783          0.1823          0.0181          0.0712          0.0098          0.1452          0.0793
soy sauce                 0.0862          0.1822          0.1474          0.0783          0.1823          0.0181          0.0712          0.0098          0.1452          0.0793
frozen peas               0.0766          0.1080          0.1717          0.0913          0.1611          0.0116          0.0411          0.0103          0.2154          0.1130
frozen carrots            0.0343          0.0894          0.0354          0.0568          0.0480          0.0084          0.0439          0.0054          0.0999          0.5784
